Results
Epoch [1/100], Iteration [200/1952], Loss: 2.5614, Accuracy: 5.0
Epoch [1/100], Iteration [400/1952], Loss: 2.2602, Accuracy: 8.0
Epoch [1/100], Iteration [600/1952], Loss: 1.7854, Accuracy: 8.0
Epoch [1/100], Iteration [800/1952], Loss: 1.4921, Accuracy: 9.0
Epoch [1/100], Iteration [1000/1952], Loss: 1.1494, Accuracy: 12.0
Epoch [1/100], Iteration [1200/1952], Loss: 1.4906, Accuracy: 9.0
Epoch [1/100], Iteration [1400/1952], Loss: 1.3073, Accuracy: 10.0
Epoch [1/100], Iteration [1600/1952], Loss: 1.1452, Accuracy: 12.0
Epoch [1/100], Iteration [1800/1952], Loss: 1.4562, Accuracy: 9.0
###### Epoch [1/100], Training Loss: 1.5622, Training accuracy: 64.18, Validation Loss: 1.1671, Validation accuracy: 71.91 ######

Epoch [2/100], Iteration [200/1952], Loss: 1.1334, Accuracy: 11.0
Epoch [2/100], Iteration [400/1952], Loss: 1.0254, Accuracy: 14.0
Epoch [2/100], Iteration [600/1952], Loss: 1.2298, Accuracy: 11.0
Epoch [2/100], Iteration [800/1952], Loss: 0.6350, Accuracy: 11.0
Epoch [2/100], Iteration [1000/1952], Loss: 0.8753, Accuracy: 13.0
Epoch [2/100], Iteration [1200/1952], Loss: 0.8044, Accuracy: 12.0
Epoch [2/100], Iteration [1400/1952], Loss: 0.6064, Accuracy: 12.0
Epoch [2/100], Iteration [1600/1952], Loss: 0.7251, Accuracy: 12.0
Epoch [2/100], Iteration [1800/1952], Loss: 1.0868, Accuracy: 11.0
###### Epoch [2/100], Training Loss: 0.8425, Training accuracy: 79.06, Validation Loss: 0.9576, Validation accuracy: 76.44 ######

Epoch [3/100], Iteration [200/1952], Loss: 0.3638, Accuracy: 14.0
Epoch [3/100], Iteration [400/1952], Loss: 0.7302, Accuracy: 13.0
Epoch [3/100], Iteration [600/1952], Loss: 0.5812, Accuracy: 12.0
Epoch [3/100], Iteration [800/1952], Loss: 0.6151, Accuracy: 13.0
Epoch [3/100], Iteration [1000/1952], Loss: 0.8911, Accuracy: 12.0
Epoch [3/100], Iteration [1200/1952], Loss: 0.2657, Accuracy: 16.0
Epoch [3/100], Iteration [1400/1952], Loss: 0.7738, Accuracy: 13.0
Epoch [3/100], Iteration [1600/1952], Loss: 1.1792, Accuracy: 11.0
Epoch [3/100], Iteration [1800/1952], Loss: 0.6595, Accuracy: 14.0
###### Epoch [3/100], Training Loss: 0.6806, Training accuracy: 82.71, Validation Loss: 0.8605, Validation accuracy: 78.26 ######

Epoch [4/100], Iteration [200/1952], Loss: 0.6962, Accuracy: 13.0
Epoch [4/100], Iteration [400/1952], Loss: 0.7426, Accuracy: 13.0
Epoch [4/100], Iteration [600/1952], Loss: 0.1601, Accuracy: 15.0
Epoch [4/100], Iteration [800/1952], Loss: 1.1740, Accuracy: 12.0
Epoch [4/100], Iteration [1000/1952], Loss: 0.3074, Accuracy: 15.0
Epoch [4/100], Iteration [1200/1952], Loss: 0.6597, Accuracy: 13.0
Epoch [4/100], Iteration [1400/1952], Loss: 0.2404, Accuracy: 15.0
Epoch [4/100], Iteration [1600/1952], Loss: 0.7901, Accuracy: 13.0
Epoch [4/100], Iteration [1800/1952], Loss: 0.1343, Accuracy: 16.0
###### Epoch [4/100], Training Loss: 0.5887, Training accuracy: 85.08, Validation Loss: 0.8132, Validation accuracy: 80.08 ######

Epoch [5/100], Iteration [200/1952], Loss: 0.2391, Accuracy: 16.0
Epoch [5/100], Iteration [400/1952], Loss: 0.2913, Accuracy: 16.0
Epoch [5/100], Iteration [600/1952], Loss: 0.1567, Accuracy: 16.0
Epoch [5/100], Iteration [800/1952], Loss: 0.8345, Accuracy: 13.0
Epoch [5/100], Iteration [1000/1952], Loss: 0.3977, Accuracy: 14.0
Epoch [5/100], Iteration [1200/1952], Loss: 0.5684, Accuracy: 13.0
Epoch [5/100], Iteration [1400/1952], Loss: 0.8622, Accuracy: 13.0
Epoch [5/100], Iteration [1600/1952], Loss: 0.5052, Accuracy: 13.0
Epoch [5/100], Iteration [1800/1952], Loss: 0.9164, Accuracy: 12.0
###### Epoch [5/100], Training Loss: 0.5275, Training accuracy: 86.64, Validation Loss: 0.7604, Validation accuracy: 81.60 ######

Epoch [6/100], Iteration [200/1952], Loss: 0.5878, Accuracy: 14.0
Epoch [6/100], Iteration [400/1952], Loss: 0.3281, Accuracy: 15.0
Epoch [6/100], Iteration [600/1952], Loss: 0.3548, Accuracy: 16.0
Epoch [6/100], Iteration [800/1952], Loss: 0.5272, Accuracy: 13.0
Epoch [6/100], Iteration [1000/1952], Loss: 0.4980, Accuracy: 14.0
